sales_id,product_id,quantity,price_paid
1,2,8,424.64
1,5,8,670.64
1,10,7,428.12
1,12,1,117.04
1,14,10,1476.2
1,20,10,261.3
1,21,8,541.44
1,22,10,468.6
1,24,6,345.36
1,25,6,934.92
1,27,1,154.62
1,31,8,541.22
2,2,10,655.3
2,5,2,13.32
2,7,12,919.37
2,9,6,297.96
2,14,9,971.46
2,27,10,22.5
2,28,10,1027.46
2,29,10,25.099999999999998
2,30,6,480.96
3,5,8,543.12
3,9,8,10.64
3,11,2,27.48
3,14,8,545.04
3,20,10,1232.88
3,21,10,1172.6000000000001
3,22,4,193.0
3,25,10,1386.3999999999999
3,28,4,458.8
3,30,2,135.78
3,31,5,661.4
3,32,7,1032.29
4,1,10,1339.5
4,2,17,1851.54
4,3,4,251.92
4,15,10,509.79999999999995
4,18,6,204.84
4,21,7,29.259999999999998
4,25,7,828.87
4,31,8,545.92
5,5,4,480.96
5,12,5,162.85
5,15,17,797.1500000000001
5,16,4,254.96
5,28,1,6.33
5,29,8,976.88
5,31,4,26.72
6,1,8,918.8
6,9,8,383.21000000000004
6,10,10,1607.8
6,16,10,95.39999999999999
6,18,3,422.52
6,22,6,361.14
6,26,7,809.4900000000001
6,29,7,276.8
6,32,6,810.8399999999999
7,21,11,766.97
7,25,9,1461.96
7,27,4,442.08
8,1,2,241.49
8,2,8,762.08
8,3,9,1088.46
8,10,8,429.68
8,14,8,812.0
8,15,7,583.4499999999999
8,16,12,507.81000000000006
8,18,1,38.34
8,19,5,688.3499999999999
8,21,4,363.36
8,22,4,453.48
8,23,21,2064.7
8,24,5,209.4
8,28,9,561.96
8,31,3,370.29
9,2,4,501.64
9,5,1,97.86
9,6,4,667.12
9,9,8,406.24
9,12,5,653.25
9,13,2,51.4
9,17,8,725.36
9,22,2,206.28
9,23,2,63.84
9,25,5,694.95
9,26,1,68.63
9,27,7,10.15
9,28,6,235.86
9,31,6,131.94
9,32,4,546.88
10,5,9,663.84
10,6,2,155.52
10,7,19,2473.2799999999997
10,10,6,497.54999999999995
10,11,8,1316.56
10,16,13,1221.2599999999998
10,18,10,1872.6
