order_id,supplier_id,stock_date
140ead02-1500-4660-897e-8773e7c34a6f,1,2024-06-09
849766ff-6b13-4de9-8169-e3cfb6832bbe,2,2025-01-09
4f83ccd2-5dad-4420-89c2-8365a60846d4,3,2024-06-22
1fcd017d-8cdb-4901-b874-39e43b3bbb0b,4,2025-02-13
a088b206-5765-4a0d-b384-1ed9dc274246,5,2025-02-25
0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,6,2025-04-02
cd963182-f3de-464d-87a1-6cbaa08a6be5,7,2024-09-23
f6c6e797-4799-4dda-aca1-1e39377a6ba2,8,2025-03-17
85911ba6-8f8d-4336-bbbc-b9ff3181d608,9,2025-03-05
53c95ac8-d16a-46b1-a66b-a0d52c4c34ad,10,2024-12-08
76819cd7-29f5-4432-9353-4db841bd3b4a,8,2024-10-15
7d643604-9f8a-45a0-935f-1a2f4bd49a7d,11,2025-01-23
97fcf51d-e661-4847-9e8b-c56c18d1e28d,12,2024-11-19
f5050e82-9242-4e06-8e66-182429448018,6,2025-01-23
02296da9-4abf-4be5-af59-0e44e5a4ad82,13,2024-04-19
c784b6b6-a242-467b-98ca-3b87aede7441,3,2024-12-02
1bf8278a-7398-42b8-9dbf-d41580a9c250,14,2024-10-20
dd76b9cd-6928-4ded-b590-dd929fedb155,15,2024-09-14
e51dd881-85af-4224-8b41-82b828a9a729,1,2024-06-10
42a4de1f-e58a-439d-93cb-caddbae19482,16,2024-11-16
798bdca3-37e7-46f3-8c44-97142715c478,11,2024-05-20
f45be451-38c3-48a2-aa26-907a3c4a266b,17,2024-04-22
605542e6-6b5f-4c13-bfff-8cfde22e6bcb,18,2025-02-05
92c90d4e-a614-4d20-a356-0dd01653d440,19,2025-03-18
2f94d132-8b5e-48cf-9594-dcab81892367,4,2024-08-27
5456d1a6-6018-4295-adee-547da69bbe53,20,2024-10-28
2fb6d849-864a-413b-b225-4738ef1daf35,21,2024-10-27
